"scientific_name","common_name","code4","code6","listing.status_federal","listing.status_iucn","states.listed","states.present","states.endangered","states.threatened","state.sppofconcern","listing.status_federal.proposed","hibernation.strategy","phonic.group","notes"
"Antrozous pallidus","Pallid bat","anpa","antpal","Not Listed","Least Concern","","AZ,CA,CO,ID,KS,MT,NM,NV,OK,OR,TX,UT,WA","","","","","resident","Lof",""
"Artibeus jamaicensis","Jamaican fruit-eating bat","arja","artjam","Not Listed","Least Concern","","PR","","","","","resident","None",""
"Brachyphylla cavernarum","Antillean fruit-eating bat","brca","bracav","Not Listed","Least Concern","","PR,VI","","","","","resident","None",""
"Choeronycteris mexicana","Mexican long-tongued bat","chme","chomex","Not Listed","Near Threatened","AZ,CA","AZ,CA,NM,TX","","","AZ,CA","","migratory","Hif",""
"Corynorhinus rafinesquii","Rafinesque's big-eared bat","cora","corraf","Not Listed","Least Concern","","AL,AR,FL,GA,IL,IN,KY,LA,MS,NC,SC,TN,VA,WV","","","","","hibernating","Lof",""
"Corynorhinus townsendii","Townsend's big-eared bat","coto","cortow","Not Listed","Least Concern","","AR,AZ,CA,CO,ID,KS,KY,MO,MT,NC,ND,NE,NM,NV,OK,OR,SD,TX,UT,VA,WA,WV,WY","","","","","hibernating","Lof",""
"Corynorhinus townsendii ingens","Ozark big-eared bat","coti","cotoin","Endangered","","","AR,MO,OK","","","","","hibernating","Lof","same as C. townsendii (subspecies)"
"Corynorhinus townsendii virginianus","Virginia big-eared bat","cotv","cotovi","Endangered","","","KY,NC,VA,WV","","","","","hibernating","Lof","same as C. townsendii (subspecies)"
"Diphylla ecaudata","Hairy-legged vampire bat","diec","dipeca","Not Listed","Least Concern","","TX","","","","","unknown","None","only marginal/historical US records - winter behavior in US range not documented; $phonic.group reflects general vampire-bat biology (faint, short-range echolocation), not US-specific data"
"Eptesicus fuscus","Big brown bat","epfu","eptfus","Not Listed","Least Concern","","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY","","","","","hibernating","Lof",""
"Euderma maculatum","Spotted bat","euma","eudmac","Not Listed","Least Concern","","AZ,CA,CO,MT,NM,NV,OR,UT,WA,WY","","","","","mixed","Lof","some individuals migrate to warmer areas in winter, others do not - genuinely mixed at species level per general accounts, LOWER CONFIDENCE on the exact split"
"Eumops floridanus","Florida bonneted bat","eufl","eumflo","Endangered","Vulnerable","FL","FL","FL","","","","resident","Lof",""
